year,County,Race_Ethnicity,leadingcause,Count,Annotation_Code,Annotation_Desc
2017,Alameda,Hispanic,ALZ,42,,
2017,Alameda,Non-Hispanic Asian,ALZ,111,,
2017,Alameda,Non-Hispanic Black/African-American,ALZ,106,,
2017,Alameda,Non-Hispanic Multi-Race,ALZ,0,,
2017,Alameda,Non-Hispanic Native American/Alaskan Native,ALZ,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Other/Unknown,ALZ,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Pacific Islander/Native Hawaiian,ALZ,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic White,ALZ,364,,
2017,Alameda,Hispanic,CAN,244,,
2017,Alameda,Non-Hispanic Asian,CAN,514,,
2017,Alameda,Non-Hispanic Black/African-American,CAN,351,,
2017,Alameda,Non-Hispanic Multi-Race,CAN,25,,
2017,Alameda,Non-Hispanic Native American/Alaskan Native,CAN,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Other/Unknown,CAN,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Pacific Islander/Native Hawaiian,CAN,17,,
2017,Alameda,Non-Hispanic White,CAN,1072,,
2017,Alameda,Hispanic,CLD,27,,
2017,Alameda,Non-Hispanic Asian,CLD,52,,
2017,Alameda,Non-Hispanic Black/African-American,CLD,80,,
2017,Alameda,Non-Hispanic Multi-Race,CLD,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Native American/Alaskan Native,CLD,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Other/Unknown,CLD,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Pacific Islander/Native Hawaiian,CLD,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic White,CLD,256,,
2017,Alameda,Hispanic,DIA,62,,
2017,Alameda,Non-Hispanic Asian,DIA,85,,
2017,Alameda,Non-Hispanic Black/African-American,DIA,83,,
2017,Alameda,Non-Hispanic Multi-Race,DIA,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Native American/Alaskan Native,DIA,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Other/Unknown,DIA,,1,Cell suppressed for small numbers
2017,Alameda,Non-Hispanic Pacific Islander/Native Hawaiian,DIA,,1,Cell suppressed for small numbers
